Interval Start UTC Date,Queue,Media Type,Skill Set,Language,Offered,Interactions Handled,Total Handle Time
2021-07-12T07:00:00.000Z,New Orders,VOICE,,,1.31625,3.31625,145.34
2021-07-12T07:00:00.000Z,New Orders,MESSAGE,,,1.31625,3.31625,145.34
2021-07-12T07:00:00.000Z,Existing Accounts,VOICE,,,1.31625,3.31625,145.34
2021-07-12T07:00:00.000Z,Existing Accounts,MESSAGE,,,1.31625,3.31625,145.34
2021-07-12T07:00:00.000Z,New Orders,VOICE,,,1.31625,3.31625,145.34
2021-07-12T07:00:00.000Z,New Orders,MESSAGE,,,1.31625,3.31625,145.34
2021-07-12T07:00:00.000Z,Existing Accounts,VOICE,,,1.31625,3.31625,145.34
2021-07-12T07:00:00.000Z,Existing Accounts,MESSAGE,,,1.31625,3.31625,145.34
2021-07-12T07:00:00.000Z,New Orders,VOICE,,,1.31625,3.31625,145.34
2021-07-12T07:00:00.000Z,New Orders,MESSAGE,,,1.31625,3.31625,145.34
2021-07-12T07:00:00.000Z,Existing Accounts,VOICE,,,1.31625,3.31625,145.34
2021-07-12T07:00:00.000Z,Existing Accounts,MESSAGE,,,1.31625,3.31625,145.34
2021-07-12T07:00:00.000Z,New Orders,VOICE,,,1.31625,3.31625,145.34
2021-07-12T07:00:00.000Z,New Orders,MESSAGE,,,1.31625,3.31625,145.34
2021-07-12T07:00:00.000Z,Existing Accounts,VOICE,,,1.31625,3.31625,145.34
2021-07-12T07:00:00.000Z,Existing Accounts,MESSAGE,,,1.31625,3.31625,145.34
2021-07-12T07:00:00.000Z,New Orders,VOICE,,,1.31625,3.31625,145.34
2021-07-12T07:00:00.000Z,New Orders,MESSAGE,,,1.31625,3.31625,145.34
2021-07-12T07:00:00.000Z,Existing Accounts,VOICE,,,1.31625,3.31625,145.34
2021-07-12T07:00:00.000Z,Existing Accounts,MESSAGE,,,1.31625,3.31625,145.34
2021-07-12T07:00:00.000Z,New Orders,VOICE,,,1.31625,3.31625,145.34
2021-07-12T07:00:00.000Z,New Orders,MESSAGE,,,1.31625,3.31625,145.34
2021-07-12T07:00:00.000Z,Existing Accounts,VOICE,,,1.31625,3.31625,145.34
2021-07-12T07:00:00.000Z,Existing Accounts,MESSAGE,,,1.31625,3.31625,145.34
2021-07-12T07:00:00.000Z,New Orders,VOICE,,,1.31625,3.31625,145.34
2021-07-12T07:15:00.000Z,New Orders,MESSAGE,,,2.68125,3.68125,149.3561818
2021-07-12T07:15:00.000Z,Existing Accounts,VOICE,,,2.68125,3.68125,149.3561818
2021-07-12T07:15:00.000Z,Existing Accounts,MESSAGE,,,2.68125,3.68125,149.3561818
2021-07-12T07:15:00.000Z,New Orders,VOICE,,,2.68125,3.68125,149.3561818
2021-07-12T07:15:00.000Z,New Orders,MESSAGE,,,2.68125,3.68125,149.3561818
2021-07-12T07:15:00.000Z,Existing Accounts,VOICE,,,2.68125,3.68125,149.3561818
2021-07-12T07:15:00.000Z,Existing Accounts,MESSAGE,,,2.68125,3.68125,149.3561818
2021-07-12T07:15:00.000Z,New Orders,VOICE,,,2.68125,3.68125,149.3561818
2021-07-12T07:15:00.000Z,New Orders,MESSAGE,,,2.68125,3.68125,149.3561818
2021-07-12T07:15:00.000Z,Existing Accounts,VOICE,,,2.68125,3.68125,149.3561818
2021-07-12T07:15:00.000Z,Existing Accounts,MESSAGE,,,2.68125,3.68125,149.3561818
2021-07-12T07:15:00.000Z,New Orders,VOICE,,,2.68125,3.68125,149.3561818
2021-07-12T07:15:00.000Z,New Orders,MESSAGE,,,2.68125,3.68125,149.3561818
2021-07-12T07:15:00.000Z,Existing Accounts,VOICE,,,2.68125,3.68125,149.3561818
2021-07-12T07:15:00.000Z,Existing Accounts,MESSAGE,,,2.68125,3.68125,149.3561818
2021-07-12T07:15:00.000Z,New Orders,VOICE,,,2.68125,3.68125,149.3561818
2021-07-12T07:15:00.000Z,New Orders,MESSAGE,,,2.68125,3.68125,149.3561818
2021-07-12T07:15:00.000Z,Existing Accounts,VOICE,,,2.68125,3.68125,149.3561818
2021-07-12T07:15:00.000Z,Existing Accounts,MESSAGE,,,2.68125,3.68125,149.3561818
2021-07-12T07:15:00.000Z,New Orders,VOICE,,,2.68125,3.68125,149.3561818
2021-07-12T07:15:00.000Z,New Orders,MESSAGE,,,2.68125,3.68125,149.3561818
2021-07-12T07:15:00.000Z,Existing Accounts,VOICE,,,2.68125,3.68125,149.3561818
2021-07-12T07:15:00.000Z,Existing Accounts,MESSAGE,,,2.68125,3.68125,149.3561818
2021-07-12T07:15:00.000Z,New Orders,VOICE,,,2.68125,3.68125,149.3561818
2021-07-12T07:15:00.000Z,New Orders,MESSAGE,,,2.68125,3.68125,149.3561818
2021-07-12T07:30:00.000Z,Existing Accounts,VOICE,,,4.04625,6.04625,137.989518
2021-07-12T07:30:00.000Z,Existing Accounts,MESSAGE,,,4.04625,6.04625,137.989518
2021-07-12T07:30:00.000Z,New Orders,VOICE,,,4.04625,6.04625,137.989518
2021-07-12T07:30:00.000Z,New Orders,MESSAGE,,,4.04625,6.04625,137.989518
2021-07-12T07:30:00.000Z,Existing Accounts,VOICE,,,4.04625,6.04625,137.989518
2021-07-12T07:30:00.000Z,Existing Accounts,MESSAGE,,,4.04625,6.04625,137.989518
2021-07-12T07:30:00.000Z,New Orders,VOICE,,,4.04625,6.04625,137.989518
2021-07-12T07:30:00.000Z,New Orders,MESSAGE,,,4.04625,6.04625,137.989518
2021-07-12T07:30:00.000Z,Existing Accounts,VOICE,,,4.04625,6.04625,137.989518
2021-07-12T07:30:00.000Z,Existing Accounts,MESSAGE,,,4.04625,6.04625,137.989518
2021-07-12T07:30:00.000Z,New Orders,VOICE,,,4.04625,6.04625,137.989518
2021-07-12T07:30:00.000Z,New Orders,MESSAGE,,,4.04625,6.04625,137.989518
2021-07-12T07:30:00.000Z,Existing Accounts,VOICE,,,4.04625,6.04625,137.989518
2021-07-12T07:30:00.000Z,Existing Accounts,MESSAGE,,,4.04625,6.04625,137.989518
2021-07-12T07:30:00.000Z,New Orders,VOICE,,,4.04625,6.04625,137.989518
2021-07-12T07:30:00.000Z,New Orders,MESSAGE,,,4.04625,6.04625,137.989518
2021-07-12T07:30:00.000Z,Existing Accounts,VOICE,,,4.04625,6.04625,137.989518
2021-07-12T07:30:00.000Z,Existing Accounts,MESSAGE,,,4.04625,6.04625,137.989518
2021-07-12T07:30:00.000Z,New Orders,VOICE,,,4.04625,6.04625,137.989518
2021-07-12T07:30:00.000Z,New Orders,MESSAGE,,,4.04625,6.04625,137.989518
2021-07-12T07:30:00.000Z,Existing Accounts,VOICE,,,4.04625,6.04625,137.989518
2021-07-12T07:30:00.000Z,Existing Accounts,MESSAGE,,,4.04625,6.04625,137.989518
2021-07-12T07:30:00.000Z,New Orders,VOICE,,,4.04625,6.04625,137.989518
2021-07-12T07:30:00.000Z,New Orders,MESSAGE,,,4.04625,6.04625,137.989518
2021-07-12T07:30:00.000Z,Existing Accounts,VOICE,,,4.04625,6.04625,137.989518
2021-07-12T07:45:00.000Z,Existing Accounts,MESSAGE,,,5.5575,5.5575,140.4307895
2021-07-12T07:45:00.000Z,New Orders,VOICE,,,5.5575,5.5575,140.4307895
2021-07-12T07:45:00.000Z,New Orders,MESSAGE,,,5.5575,5.5575,140.4307895
2021-07-12T07:45:00.000Z,Existing Accounts,VOICE,,,5.5575,5.5575,140.4307895
2021-07-12T07:45:00.000Z,Existing Accounts,MESSAGE,,,5.5575,5.5575,140.4307895
2021-07-12T07:45:00.000Z,New Orders,VOICE,,,5.5575,5.5575,140.4307895
2021-07-12T07:45:00.000Z,New Orders,MESSAGE,,,5.5575,5.5575,140.4307895
2021-07-12T07:45:00.000Z,Existing Accounts,VOICE,,,5.5575,5.5575,140.4307895
2021-07-12T07:45:00.000Z,Existing Accounts,MESSAGE,,,5.5575,5.5575,140.4307895
2021-07-12T07:45:00.000Z,New Orders,VOICE,,,5.5575,5.5575,140.4307895
2021-07-12T07:45:00.000Z,New Orders,MESSAGE,,,5.5575,5.5575,140.4307895
2021-07-12T07:45:00.000Z,Existing Accounts,VOICE,,,5.5575,5.5575,140.4307895
2021-07-12T07:45:00.000Z,Existing Accounts,MESSAGE,,,5.5575,5.5575,140.4307895
2021-07-12T07:45:00.000Z,New Orders,VOICE,,,5.5575,5.5575,140.4307895
2021-07-12T07:45:00.000Z,New Orders,MESSAGE,,,5.5575,5.5575,140.4307895
2021-07-12T07:45:00.000Z,Existing Accounts,VOICE,,,5.5575,5.5575,140.4307895
2021-07-12T07:45:00.000Z,Existing Accounts,MESSAGE,,,5.5575,5.5575,140.4307895
2021-07-12T07:45:00.000Z,New Orders,VOICE,,,5.5575,5.5575,140.4307895
2021-07-12T07:45:00.000Z,New Orders,MESSAGE,,,5.5575,5.5575,140.4307895
2021-07-12T07:45:00.000Z,Existing Accounts,VOICE,,,5.5575,5.5575,140.4307895
2021-07-12T07:45:00.000Z,Existing Accounts,MESSAGE,,,5.5575,5.5575,140.4307895
2021-07-12T07:45:00.000Z,New Orders,VOICE,,,5.5575,5.5575,140.4307895
2021-07-12T07:45:00.000Z,New Orders,MESSAGE,,,5.5575,5.5575,140.4307895
2021-07-12T07:45:00.000Z,Existing Accounts,VOICE,,,5.5575,5.5575,140.4307895
2021-07-12T07:45:00.000Z,Existing Accounts,MESSAGE,,,5.5575,5.5575,140.4307895
2021-07-12T08:00:00.000Z,New Orders,VOICE,,,6.9225,6.9225,143.3774647
2021-07-12T08:00:00.000Z,New Orders,MESSAGE,,,6.9225,6.9225,143.3774647
2021-07-12T08:00:00.000Z,Existing Accounts,VOICE,,,6.9225,6.9225,143.3774647
2021-07-12T08:00:00.000Z,Existing Accounts,MESSAGE,,,6.9225,6.9225,143.3774647
2021-07-12T08:00:00.000Z,New Orders,VOICE,,,6.9225,6.9225,143.3774647
2021-07-12T08:00:00.000Z,New Orders,MESSAGE,,,6.9225,6.9225,143.3774647
2021-07-12T08:00:00.000Z,Existing Accounts,VOICE,,,6.9225,6.9225,143.3774647
2021-07-12T08:00:00.000Z,Existing Accounts,MESSAGE,,,6.9225,6.9225,143.3774647
2021-07-12T08:00:00.000Z,New Orders,VOICE,,,6.9225,6.9225,143.3774647
2021-07-12T08:00:00.000Z,New Orders,MESSAGE,,,6.9225,6.9225,143.3774647
2021-07-12T08:00:00.000Z,Existing Accounts,VOICE,,,6.9225,6.9225,143.3774647
2021-07-12T08:00:00.000Z,Existing Accounts,MESSAGE,,,6.9225,6.9225,143.3774647
2021-07-12T08:00:00.000Z,New Orders,VOICE,,,6.9225,6.9225,143.3774647
2021-07-12T08:00:00.000Z,New Orders,MESSAGE,,,6.9225,6.9225,143.3774647
2021-07-12T08:00:00.000Z,Existing Accounts,VOICE,,,6.9225,6.9225,143.3774647
2021-07-12T08:00:00.000Z,Existing Accounts,MESSAGE,,,6.9225,6.9225,143.3774647
2021-07-12T08:00:00.000Z,New Orders,VOICE,,,6.9225,6.9225,143.3774647
2021-07-12T08:00:00.000Z,New Orders,MESSAGE,,,6.9225,6.9225,143.3774647
2021-07-12T08:00:00.000Z,Existing Accounts,VOICE,,,6.9225,6.9225,143.3774647
